"CONTRACT_NUNBER";"IS_FOUND_EXPIRATION_DATE";"IS_FOUND_MONTHS";"EXPIRATION_DATE";"GODN_FOUND_TEXT";"MONTH_FOUND_TEXT"
"1183303814520000178";1;0;;"6.   Срок годности Товара:________________________";
"1183303814520000185";1;0;;"6.   Срок годности Товара:________________________";
"1183303814520000199";1;0;;"6.   Срок годности Товара:________________________";
"1183303814520000199";1;0;;"6.   Срок годности Товара:________________________";
"1183303814520000209";1;0;;"6.   Срок годности Товара:________________________";
"1183303814520000214";1;0;;"6.   Срок годности Товара:________________________";
"1183303814520000240";1;0;;Срок годности на момент поставки, мес;
"1183303814520000253";1;0;;Срок годности на момент поставки, мес;
"1202700063620000018";1;1;Остаточный срок годности лекарственных препаратов в соответствии с условиями контракта, не менее (мес.);Остаточный срок годности поставленных лекарственных препаратов/Дата окончания срока годности поставленных лекарственных препаратов;Остаточный срок годности лекарственных препаратов в соответствии с условиями контракта, не менее (мес.)
"1202700063620000018";0;0;;;
"1212702428520000066";1;1;Срок годности, в течении которого товар сохраняет свою пригодность для использования, должен быть не менее 01 января 2022 года.;Срок годности Товара;Срок годности, в течении которого товар сохраняет свою пригодность для использования, должен быть не менее 01 января 2022 года.
"1212870843220000140";1;1;не менее 7 месяцев;Остаточный срок годности;не менее 7 месяцев
"1220300412420000110";1;0;;Срок годности Товара: ________________________;
"1222501845920000167";1;1;на момент поставки товара не менее 12 месяцев;Срок годности, годен до;на момент поставки товара не менее 12 месяцев
"1222501845920000195";1;1;Не менее 12 месяцев;Срок годности, годен до;Не менее 12 месяцев
"1222501845920000207";1;1;не менее 12 (двенадцати) месяцев;Срок годности, годен до;не менее 12 (двенадцати) месяцев
"1222501845921000018";1;1;на момент поставки товара не менее 12 месяцев;Срок годности, годен до;на момент поставки товара не менее 12 месяцев
"1222501845921000023";1;1;не менее 12 месяцев;Срок годности, годен до;не менее 12 месяцев
"1222513070020000281";1;1;Остаточный срок годности на момент поставки товара не менее 14 месяцев;Остаточный срок годности;Остаточный срок годности на момент поставки товара не менее 14 месяцев
"1222513070020000291";1;1;Остаточный срок годности на момент поставки товара не менее 12 месяцев;Остаточный срок годности;Остаточный срок годности на момент поставки товара не менее 12 месяцев
"1222513070020000300";1;1;Остаточный срок годности на момент поставки товара не менее 12 месяцев;Остаточный срок годности;Остаточный срок годности на момент поставки товара не менее 12 месяцев
"1231902746620000160";1;1;не ранее 01.10.2021;Остаточный срок годности;не ранее 01.10.2021
"1231902746620000160";1;1;не ранее 01.10.2021;Остаточный срок годности;не ранее 01.10.2021
"1231902746620000205";1;1;не ранее 01.12.2021;Остаточный срок годности;не ранее 01.12.2021
"1231902746620000205";1;1;не ранее 01.12.2021;Остаточный срок годности;не ранее 01.12.2021
"1242800240820000033";1;1;Остаточный срок годности товара на момент достаки Получателю должен составлять не менее 12 месяцев.;Остаточный срок годности;Остаточный срок годности товара на момент достаки Получателю должен составлять не менее 12 месяцев.
"1245203495420000449";1;0;;"6. Срок годности Товара:____________________________";
"1246200396220000961";1;1;Поставщик обязуется поставить товар с остаточным сроком годности не менее 15 месяцев на момент поставки Товара Заказчику.;Остаточный срок годности;Поставщик обязуется поставить товар с остаточным сроком годности не менее 15 месяцев на момент поставки Товара Заказчику.
"1246305079620000169";1;0;;	6. Срок годности Товара: _____;
"1246305079620000175";1;0;;	6. Срок годности Товара: _____;
"1246305502520000091";1;1;"12 месяцев";Остаточный срок годности;"12 месяцев"
"1246403379320000324";1;1;"12 месяцев";Срок годности;"12 месяцев"
"1246622853320000455";1;1;"12 (двенадцать) месяцев";Остаточный срок годности;"12 (двенадцать) месяцев"
"1246622853320000485";1;1;не  менее 18 (восемнадцати) месяцев;Остаточный срок годности;не  менее 18 (восемнадцати) месяцев
"1246622853320000522";1;1;"12 (двенадцать) месяцев";Остаточный срок годности;"12 (двенадцать) месяцев"
"1246622853320000525";1;1;"12 (двенадцать) месяцев";Остаточный срок годности;"12 (двенадцать) месяцев"
"1246622853320000526";1;1;"12 (двенадцать) месяцев";Остаточный срок годности;"12 (двенадцать) месяцев"
"1246622853320000621";1;1;"18 (восемнадцать) месяцев";Остаточный срок годности;"18 (восемнадцать) месяцев"
"1251230344221000009";1;0;;"Срок годности Товара:________________________";
"1251230344221000009";1;0;;"Срок годности Товара:________________________";
"1253900811620000730";1;1;Не менее 12 (двенадцати) месяцев от общего срока годности, установленного производителем;Остаточный срок годности;Не менее 12 (двенадцати) месяцев от общего срока годности, установленного производителем
"1253900811620000761";1;0;;Срок годности;
"1253900811620000894";1;1;не менее 12 месяцев с даты поставки препарата Заказчику;Остаточный срок годности;не менее 12 месяцев с даты поставки препарата Заказчику
"1253900811620000894";1;1;не менее 12 месяцев с даты поставки препарата Заказчику;Остаточный срок годности;не менее 12 месяцев с даты поставки препарата Заказчику
"1253900811620001023";1;1;Срок годности всех лекарственных препаратов на срок поставки не менее 31.01.2022года.;Срок годности всех лекарственных препаратов на срок поставки не менее 31.01.2022года.;Срок годности всех лекарственных препаратов на срок поставки не менее 31.01.2022года.
"1253901728720000210";1;1;"8. Требования к гарантийному сроку товара: остаточный срок годности лекарственных препаратов на момент поставки заказчику должен составлять не менее:";Остаточный срок годности;"8. Требования к гарантийному сроку товара: остаточный срок годности лекарственных препаратов на момент поставки заказчику должен составлять не менее:"
"1253901728720000212";1;1;"8. Требования к гарантийному сроку товара: остаточный срок годности лекарственных препаратов на момент поставки заказчику должен составлять не менее:";Остаточный срок годности;"8. Требования к гарантийному сроку товара: остаточный срок годности лекарственных препаратов на момент поставки заказчику должен составлять не менее:"
"1253904401920000103";1;1;Не менее 12 месяцев на момент поставки товара;Срок годности;Не менее 12 месяцев на момент поставки товара
"1253904486920000091";1;1;           Остаточный срок годности товара должен составлять не менее 18 месяцев на момент поставки.;Срок годности;           Остаточный срок годности товара должен составлять не менее 18 месяцев на момент поставки.
"1253904486920000091";1;1;           Остаточный срок годности товара должен составлять не менее 18 месяцев на момент поставки.;Срок годности;           Остаточный срок годности товара должен составлять не менее 18 месяцев на момент поставки.
"1254011782520000154";1;1;Остаточный срок годности составляет не менее 12 месяцев. Товар зарегистрирован в реестре лекарственных средств и иметь действующее регистрационное удостоверение.;Остаточный срок годности составляет не менее 12 месяцев. Товар зарегистрирован в реестре лекарственных средств и иметь действующее регистрационное удостоверение.;Остаточный срок годности составляет не менее 12 месяцев. Товар зарегистрирован в реестре лекарственных средств и иметь действующее регистрационное удостоверение.
"1254011782520000154";1;1;Остаточный срок годности составляет не менее 12 месяцев. Товар зарегистрирован в реестре лекарственных средств и иметь действующее регистрационное удостоверение.;Остаточный срок годности составляет не менее 12 месяцев. Товар зарегистрирован в реестре лекарственных средств и иметь действующее регистрационное удостоверение.;Остаточный срок годности составляет не менее 12 месяцев. Товар зарегистрирован в реестре лекарственных средств и иметь действующее регистрационное удостоверение.
"1254011782520000177";1;1;Остаточный срок годности составляет не менее 12 месяцев. Товар зарегистрирован в реестре лекарственных средств и иметь действующее регистрационное удостоверение.;Остаточный срок годности составляет не менее 12 месяцев. Товар зарегистрирован в реестре лекарственных средств и иметь действующее регистрационное удостоверение.;Остаточный срок годности составляет не менее 12 месяцев. Товар зарегистрирован в реестре лекарственных средств и иметь действующее регистрационное удостоверение.
"1254011782520000177";1;1;Остаточный срок годности составляет не менее 12 месяцев. Товар зарегистрирован в реестре лекарственных средств и иметь действующее регистрационное удостоверение.;Остаточный срок годности составляет не менее 12 месяцев. Товар зарегистрирован в реестре лекарственных средств и иметь действующее регистрационное удостоверение.;Остаточный срок годности составляет не менее 12 месяцев. Товар зарегистрирован в реестре лекарственных средств и иметь действующее регистрационное удостоверение.
"1254011782520000181";1;1;Остаточный срок годности составляет не менее 12 месяцев. Товар зарегистрирован в реестре лекарственных средств и иметь действующее регистрационное удостоверение.;Остаточный срок годности составляет не менее 12 месяцев. Товар зарегистрирован в реестре лекарственных средств и иметь действующее регистрационное удостоверение.;Остаточный срок годности составляет не менее 12 месяцев. Товар зарегистрирован в реестре лекарственных средств и иметь действующее регистрационное удостоверение.
"1254011782520000181";1;1;Остаточный срок годности составляет не менее 12 месяцев. Товар зарегистрирован в реестре лекарственных средств и иметь действующее регистрационное удостоверение.;Остаточный срок годности составляет не менее 12 месяцев. Товар зарегистрирован в реестре лекарственных средств и иметь действующее регистрационное удостоверение.;Остаточный срок годности составляет не менее 12 месяцев. Товар зарегистрирован в реестре лекарственных средств и иметь действующее регистрационное удостоверение.
"1254011782520000182";1;1;Остаточный срок годности составляет не менее 12 месяцев. Товар зарегистрирован в реестре лекарственных средств и иметь действующее регистрационное удостоверение.;Остаточный срок годности составляет не менее 12 месяцев. Товар зарегистрирован в реестре лекарственных средств и иметь действующее регистрационное удостоверение.;Остаточный срок годности составляет не менее 12 месяцев. Товар зарегистрирован в реестре лекарственных средств и иметь действующее регистрационное удостоверение.
"1254011782520000182";1;1;Остаточный срок годности составляет не менее 12 месяцев. Товар зарегистрирован в реестре лекарственных средств и иметь действующее регистрационное удостоверение.;Остаточный срок годности составляет не менее 12 месяцев. Товар зарегистрирован в реестре лекарственных средств и иметь действующее регистрационное удостоверение.;Остаточный срок годности составляет не менее 12 месяцев. Товар зарегистрирован в реестре лекарственных средств и иметь действующее регистрационное удостоверение.
"1254011782520000196";1;1;Остаточный срок годности составляет не менее 12 месяцев. Товар зарегистрирован в реестре лекарственных средств и иметь действующее регистрационное удостоверение.;Остаточный срок годности составляет не менее 12 месяцев. Товар зарегистрирован в реестре лекарственных средств и иметь действующее регистрационное удостоверение.;Остаточный срок годности составляет не менее 12 месяцев. Товар зарегистрирован в реестре лекарственных средств и иметь действующее регистрационное удостоверение.
"1254011782520000196";1;1;Остаточный срок годности составляет не менее 12 месяцев. Товар зарегистрирован в реестре лекарственных средств и иметь действующее регистрационное удостоверение.;Остаточный срок годности составляет не менее 12 месяцев. Товар зарегистрирован в реестре лекарственных средств и иметь действующее регистрационное удостоверение.;Остаточный срок годности составляет не менее 12 месяцев. Товар зарегистрирован в реестре лекарственных средств и иметь действующее регистрационное удостоверение.
"1254011782520000202";1;1;Остаточный срок годности составляет не менее 12 месяцев. Товар зарегистрирован в реестре лекарственных средств и иметь действующее регистрационное удостоверение.;Остаточный срок годности составляет не менее 12 месяцев. Товар зарегистрирован в реестре лекарственных средств и иметь действующее регистрационное удостоверение.;Остаточный срок годности составляет не менее 12 месяцев. Товар зарегистрирован в реестре лекарственных средств и иметь действующее регистрационное удостоверение.
"1254011782520000202";1;1;Остаточный срок годности составляет не менее 12 месяцев. Товар зарегистрирован в реестре лекарственных средств и иметь действующее регистрационное удостоверение.;Остаточный срок годности составляет не менее 12 месяцев. Товар зарегистрирован в реестре лекарственных средств и иметь действующее регистрационное удостоверение.;Остаточный срок годности составляет не менее 12 месяцев. Товар зарегистрирован в реестре лекарственных средств и иметь действующее регистрационное удостоверение.
"1254011782520000203";1;1;Остаточный срок годности составляет не менее 12 месяцев. Товар зарегистрирован в реестре лекарственных средств и иметь действующее регистрационное удостоверение.;Остаточный срок годности составляет не менее 12 месяцев. Товар зарегистрирован в реестре лекарственных средств и иметь действующее регистрационное удостоверение.;Остаточный срок годности составляет не менее 12 месяцев. Товар зарегистрирован в реестре лекарственных средств и иметь действующее регистрационное удостоверение.
"1254011782520000203";1;1;Остаточный срок годности составляет не менее 12 месяцев. Товар зарегистрирован в реестре лекарственных средств и иметь действующее регистрационное удостоверение.;Остаточный срок годности составляет не менее 12 месяцев. Товар зарегистрирован в реестре лекарственных средств и иметь действующее регистрационное удостоверение.;Остаточный срок годности составляет не менее 12 месяцев. Товар зарегистрирован в реестре лекарственных средств и иметь действующее регистрационное удостоверение.
"1254011782520000209";1;1;Остаточный срок годности составляет не менее 12 месяцев. Товар зарегистрирован в реестре лекарственных средств и иметь действующее регистрационное удостоверение.;Остаточный срок годности составляет не менее 12 месяцев. Товар зарегистрирован в реестре лекарственных средств и иметь действующее регистрационное удостоверение.;Остаточный срок годности составляет не менее 12 месяцев. Товар зарегистрирован в реестре лекарственных средств и иметь действующее регистрационное удостоверение.
"1254011782520000209";1;1;Остаточный срок годности составляет не менее 12 месяцев. Товар зарегистрирован в реестре лекарственных средств и иметь действующее регистрационное удостоверение.;Остаточный срок годности составляет не менее 12 месяцев. Товар зарегистрирован в реестре лекарственных средств и иметь действующее регистрационное удостоверение.;Остаточный срок годности составляет не менее 12 месяцев. Товар зарегистрирован в реестре лекарственных средств и иметь действующее регистрационное удостоверение.
"1262600373120000314";1;0;;Срок годности Товара:________________________;
"1262600373120000314";1;0;;Срок годности Товара:________________________;
"1263300355620000179";1;1;не менее 12 месяцев с момента заключения контракта;Остаточный срок годности;не менее 12 месяцев с момента заключения контракта
"1263300355620000179";1;1;не менее 12 месяцев с момента заключения контракта;Остаточный срок годности;не менее 12 месяцев с момента заключения контракта
"1263300355620000179";0;0;;;
"1263300355620000182";1;1;не менее 12 месяцев с момента заключения контракта;Остаточный срок годности;не менее 12 месяцев с момента заключения контракта
"1263300355620000182";0;0;;;
"1263300355620000182";1;1;не менее 12 месяцев с момента заключения контракта;Остаточный срок годности;не менее 12 месяцев с момента заключения контракта
"1263300355620000182";0;0;;;
"1263300355620000199";1;1;не менее 12 месяцев с момента заключения контракта;Остаточный срок годности;не менее 12 месяцев с момента заключения контракта
"1263300355620000199";0;0;;;
"1263300355620000199";1;1;не менее 12 месяцев с момента заключения контракта;Остаточный срок годности;не менее 12 месяцев с момента заключения контракта
"1272102452320000327";1;1;Остаточный срок годности на момент поставки  будет составлять не менее 12 месяцев;Остаточный срок годности;Остаточный срок годности на момент поставки  будет составлять не менее 12 месяцев
"1272102452320000360";1;0;;Остаточный срок годности;
"1272102452320000365";1;1;не менее 12 месяцев.;Остаточный срок годности;не менее 12 месяцев.
"1272413966720000358";1;0;;"Срок годности Товара:________________________";
"1272413966720000358";1;0;;"Срок годности Товара:________________________";
"1272413966720000360";1;1;Не менее 14 месяцев на момент поставки;Остаточный срок годности;Не менее 14 месяцев на момент поставки
"1272413966720000360";1;1;Не менее 14 месяцев на момент поставки;Остаточный срок годности;Не менее 14 месяцев на момент поставки
"1272413966720000382";1;1;Не менее 14 месяцев;Остаточный срок годности;Не менее 14 месяцев
"1272413966720000382";1;1;Не менее 14 месяцев;Остаточный срок годности;Не менее 14 месяцев
"1272413966720000442";1;1;Не менее 14 месяцев на дату поставки.;Остаточный срок годности;Не менее 14 месяцев на дату поставки.
"1272413966720000442";1;1;Не менее 14 месяцев на дату поставки.;Остаточный срок годности;Не менее 14 месяцев на дату поставки.
"1280101925420000102";1;1;Остаточный срок годности на момент поставки товара не менее 6 месяцев  на момент поставки товара;Остаточный срок годности на момент поставки товара не менее 6 месяцев  на момент поставки товара;Остаточный срок годности на момент поставки товара не менее 6 месяцев  на момент поставки товара
"1280103106820000148";1;1;Товар должен поставляться Заказчику с запасом срока годности – не ранее 01.11.2021 г.;Остаточный срок годности;Товар должен поставляться Заказчику с запасом срока годности – не ранее 01.11.2021 г.
"1280103106820000153";1;1;Товар должен поставляться Заказчику с запасом срока годности – не ранее 01.11.2021 г.;Остаточный срок годности;Товар должен поставляться Заказчику с запасом срока годности – не ранее 01.11.2021 г.
"1280110973320000090";1;1;Не менее 12 месяцев;Срок годности;Не менее 12 месяцев
"1290103616520000095";1;1;Остаточный срок годности товара на дату его поставки в адрес Государственного заказчика                        не менее 17 месяцев;Остаточный срок годности;Остаточный срок годности товара на дату его поставки в адрес Государственного заказчика                        не менее 17 месяцев
"1291200051620000196";1;1;Остаточный срок годности в месяцах (с даты заключения Контракта);Остаточный срок годности в месяцах (с даты заключения Контракта);Остаточный срок годности в месяцах (с даты заключения Контракта)
"1301501089620000113";1;1;На момент поставки минимальный остаточный срок годности товара должен составлять - не менее 13 месяцев от даты поставки.;Остаточный срок годности;На момент поставки минимальный остаточный срок годности товара должен составлять - не менее 13 месяцев от даты поставки.
"1301501089620000113";1;1;На момент поставки минимальный остаточный срок годности товара должен составлять - не менее 13 месяцев от даты поставки.;Остаточный срок годности;На момент поставки минимальный остаточный срок годности товара должен составлять - не менее 13 месяцев от даты поставки.
"1301508168920000354";1;1;не менее 12 месяцев;Остаточный срок годности;не менее 12 месяцев
"1301508168920000354";1;1;не менее 12 месяцев;Остаточный срок годности;не менее 12 месяцев
"1301508168920000386";1;1;не менее 12 месяцев;Остаточный срок годности;не менее 12 месяцев
"1301508168920000386";1;1;не менее 12 месяцев;Остаточный срок годности;не менее 12 месяцев
"1301508168920000399";1;1;Не менее 12 месяцев;Остаточный срок годности;Не менее 12 месяцев
"1301508168920000399";1;1;Не менее 12 месяцев;Остаточный срок годности;Не менее 12 месяцев
"1301508168920000404";1;1;"12 месяцев";Остаточный срок годности;"12 месяцев"
"1301508168920000404";1;1;"12 месяцев";Остаточный срок годности;"12 месяцев"
"1301508168920000420";1;1;"8 месяцев";Остаточный срок годности;"8 месяцев"
"1301508168920000420";1;1;"8 месяцев";Остаточный срок годности;"8 месяцев"
"1301508168920000422";1;1;"12 месяцев";Остаточный срок годности;"12 месяцев"
"1301508168920000422";1;1;"12 месяцев";Остаточный срок годности;"12 месяцев"
"1301508168921000038";1;1;Не менее 12 месяцев;Остаточный срок годности;Не менее 12 месяцев
"1301508168921000038";1;1;Не менее 12 месяцев;Остаточный срок годности;Не менее 12 месяцев
"1301508168921000087";1;1;Не менее 12 месяцев;Остаточный срок годности;Не менее 12 месяцев
"1301508168921000087";1;1;Не менее 12 месяцев;Остаточный срок годности;Не менее 12 месяцев
"1312307734420000038";1;1;"12 месяцев с даты поставки";Остаточный срок годности;"12 месяцев с даты поставки"
"1320100515620000137";1;1;"12 месяцев";Остаточный срок годности;"12 месяцев"
"1320100515620000140";1;1;"12 месяцев";Остаточный срок годности;"12 месяцев"
"1344404847220000273";1;1;Остаточный срок годности Товара на день поставки составляет не менее 9 месяцев.;Остаточный срок годности Товара на день поставки составляет не менее 9 месяцев.;Остаточный срок годности Товара на день поставки составляет не менее 9 месяцев.
"1344404847220000275";1;1;Остаточный срок годности Товара на день поставки составляет не менее 9 месяцев.;Остаточный срок годности Товара на день поставки составляет не менее 9 месяцев.;Остаточный срок годности Товара на день поставки составляет не менее 9 месяцев.
"1344404847220000353";1;1;Остаточный срок годности Товара на день поставки составляет не менее 9 месяцев.;Остаточный срок годности Товара на день поставки составляет не менее 9 месяцев.;Остаточный срок годности Товара на день поставки составляет не менее 9 месяцев.
"1344413078320000055";1;1;"Остаточный срок годности Товара на день поставки составляет 12 месяцев.";"Остаточный срок годности Товара на день поставки составляет 12 месяцев.";"Остаточный срок годности Товара на день поставки составляет 12 месяцев."
"1344413078320000093";1;1;Остаточный срок годности Товара на день поставки составляет не менее 24 месяцев.;Остаточный срок годности Товара на день поставки составляет не менее 24 месяцев.;Остаточный срок годности Товара на день поставки составляет не менее 24 месяцев.
"1344413078320000112";0;0;;;
"1344413078320000112";1;1;"Остаточный срок годности Товара на день поставки составляет не менее 12 месяцев.";"Остаточный срок годности Товара на день поставки составляет не менее 12 месяцев.";"Остаточный срок годности Товара на день поставки составляет не менее 12 месяцев."
"1344701500220000123";1;1;Не менее 12 месяцев на день поставки;Остаточный срок годности;Не менее 12 месяцев на день поставки
"1344701500220000123";1;1;Не менее 12 месяцев на день поставки;Остаточный срок годности;Не менее 12 месяцев на день поставки
"1352504896020000177";1;1;-36 месяцев позиция 1 спецификации;Остаточный срок годности товара на дату поставки:;-36 месяцев позиция 1 спецификации
"1352504896020000178";1;1;"-24 месяца позиции 3, 4, 7, 9, 12, 15 спецификации;";Остаточный срок годности товара на дату поставки:;"-24 месяца позиции 3, 4, 7, 9, 12, 15 спецификации;"
"1352504896020000180";1;1;"-36 месяцев позиции 1, 2 спецификации;";Остаточный срок годности товара на дату поставки:;"-36 месяцев позиции 1, 2 спецификации;"
"1352504896020000181";1;1;"-24 месяца позиции 13 спецификации;";Остаточный срок годности товара на дату поставки:;"-24 месяца позиции 13 спецификации;"
"1360200644620000064";1;1;Товар должен поставляться Получателю с запасом срока годности – не менее 12 месяцев на момент поставки и в соответствии с требованиями нормативной документации, утвержденной в установленном порядке.;Остаточный срок годности;Товар должен поставляться Получателю с запасом срока годности – не менее 12 месяцев на момент поставки и в соответствии с требованиями нормативной документации, утвержденной в установленном порядке.
"1365100157820000162";1;1;"12 месяцев на момент поставки";Остаточный срок годности;"12 месяцев на момент поставки"
"1365100157820000163";1;1;"Срок годности товара, установленный производителемОстаточный срок годности товара при поставке товара 6 месяцевне менее 4 месяцев1 годне менее 8 месяцев2 года и болеене менее 12 месяцев";Остаточный срок годности;"Срок годности товара, установленный производителемОстаточный срок годности товара при поставке товара 6 месяцевне менее 4 месяцев1 годне менее 8 месяцев2 года и болеене менее 12 месяцев"
